SQL>     select * from TASK_CODE order by task_id;

TASK_ID       |TASK_TYPE                                                                       |BIZ_ID|DISA|COMB|FLOWNAME                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
--------------|--------------------------------------------------------------------------------|------|----|----|----------------------------------------                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
0010001       |一般自行查核                                                                    |001   |0   |0   |Flow1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0010005       |專案自行查核                                                                    |001   |0   |0   |Flow1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0010009       |自動查庫報告                                                                    |001   |0   |0   |Flow1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0010013       |全面清點保管品                                                                  |001   |0   |0   |Flow1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0010017       |遵守法令自評                                                                    |001   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0010021       |突擊有價證券                                                                    |001   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0010025       |營業中機動查核-櫃員現金(一)                                                     |001   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0010029       |營業中機動查核-櫃員現金(二)                                                     |001   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0010033       |外部金融檢查                                                                    |001   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0010037       |稽核室專案查核                                                                  |001   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0010041       |稽核室一般查核                                                                  |001   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0010162       |營業中機動查核-櫃員現金(三)                                                     |001   |1   |0   |Flow1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0020002       |一般自行查核                                                                    |002   |0   |0   |Flow1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0020006       |專案自行查核                                                                    |002   |0   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0020010       |自動查庫報告                                                                    |002   |0   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0020014       |全面清點保管品                                                                  |002   |0   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0020018       |遵守法令自評                                                                    |002   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0020022       |突擊有價證券                                                                    |002   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0020026       |營業中機動查核-櫃員現金(一)                                                     |002   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0020030       |營業中機動查核-櫃員現金(二)                                                     |002   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0020034       |外部金融檢查                                                                    |002   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0020038       |稽核室專案查核                                                                  |002   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0020042       |稽核室一般查核                                                                  |002   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0020163       |營業中機動查核-櫃員現金(三)                                                     |002   |1   |0   |Flow1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0030003       |一般自行查核                                                                    |003   |0   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0030007       |專案自行查核                                                                    |003   |0   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0030011       |自動查庫報告                                                                    |003   |0   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0030015       |全面清點保管品                                                                  |003   |0   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0030019       |遵守法令自評                                                                    |003   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0030023       |突擊有價證券                                                                    |003   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0030027       |營業中機動查核-櫃員現金(一)                                                     |003   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0030031       |營業中機動查核-櫃員現金(二)                                                     |003   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0030035       |外部金融檢查                                                                    |003   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0030039       |稽核室專案查核                                                                  |003   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0030043       |稽核室一般查核                                                                  |003   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0030164       |營業中機動查核-櫃員現金(三)                                                     |003   |1   |0   |Flow1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0040004       |一般自行查核                                                                    |004   |0   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0040008       |專案自行查核                                                                    |004   |0   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0040012       |自動查庫報告                                                                    |004   |0   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0040016       |全面清點保管品                                                                  |004   |0   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0040020       |遵守法令自評                                                                    |004   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0040024       |突擊有價證券                                                                    |004   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
0040028       |營業中機動查核-櫃員現金(一)                                                     |004   |1   |0   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
